name,weights,nutrition_Score,Processing_type,green_score
Sidi Ali,33 cl,Nutri-Score A,NOVA not computed,Green-Score not applicable
Perly,85 g,Nutri-Score unknown,Processed foods,Green-Score B
Sidi Ali,2 L,Nutri-Score A,NOVA not computed,Green-Score not applicable
Sidi Ali mineral water,"1,5 L",Nutri-Score A,Unprocessed or minimally processed foods,Green-Score not applicable
Aquafina 33cl,33cl,Nutri-Score A,NOVA not computed,Green-Score not applicable
Lait,450 ml,Nutri-Score B,Processed foods,Green-Score D
Eau De Source,1500 ml,Nutri-Score A,Unprocessed or minimally processed foods,Green-Score not applicable
Fromage blanc nature,1kg,Nutri-Score A,Processed foods,Green-Score A
uht jaouda 1L,1L,Nutri-Score B,Unprocessed or minimally processed foods,Green-Score D
Jben,160g,Nutri-Score D,Ultra-processed foods,Green-Score D
Ain Saïss,1.5 l,Nutri-Score A,Unprocessed or minimally processed foods,Green-Score not applicable
Eau minéral naturelle,33cl,Nutri-Score A,NOVA not computed,Green-Score not applicable
Minéral water,50 cl,Nutri-Score A,NOVA not computed,Green-Score not applicable
Marmite Yeast Extract,250 g,Nutri-Score E,Ultra-processed foods,Green-Score not computed
Jaouda,80 g,Nutri-Score A,Processed foods,Green-Score B
Lait Frais,470 ml,Nutri-Score B,Unprocessed or minimally processed foods,Green-Score D
Margarine de table,200,Nutri-Score D,NOVA not computed,Green-Score E
Original Taste,1 l,Nutri-Score E,Ultra-processed foods,Green-Score not applicable
اكوافينا,"1,5l",Nutri-Score B,Unprocessed or minimally processed foods,Green-Score not applicable
Prince Chocolate Cookies,100g,Nutri-Score E,Ultra-processed foods,Green-Score D
Lindt Excellence 90%,100 g,Nutri-Score D,Processed foods,Green-Score E
Excellence 70% Cocoa Intense Dark,100 g,Nutri-Score E,Processed foods,Green-Score E
Oulmes natural carbonated water,1L,Nutri-Score A,NOVA not computed,Green-Score not applicable
Nutella,1 kg,Nutri-Score E,Ultra-processed foods,Green-Score D
Orange juice,1L,Nutri-Score E,Ultra-processed foods,Green-Score C
tonik,23,Nutri-Score E,Processed culinary ingredients,Green-Score B
levure pâtisserie,– 80 g,Nutri-Score B,Ultra-processed foods,Green-Score not computed
Ain Saiss 33cl,0.33 L,Nutri-Score A,NOVA not computed,Green-Score not applicable
"Gerblé - Sesame Cookie, 230g (8.2oz)",230g,Nutri-Score C,Ultra-processed foods,Green-Score C
Confiture de fraise,430 g,Nutri-Score unknown,Processed foods,Green-Score B
Ain Atlas,5L,Nutri-Score A,NOVA not computed,Green-Score not applicable
Yaourt nature,110 g,Nutri-Score B,Processed foods,Green-Score B
zero sugar free Fibre,170 g,Nutri-Score B,Ultra-processed foods,Green-Score C
Excellence 85% Cacao Rich Dark,100 g,Nutri-Score E,Processed foods,Green-Score E
Ain Atlas,1.5 L,Nutri-Score A,NOVA not computed,Green-Score not applicable
Mayonnaise Original recipe,280ml,Nutri-Score D,Ultra-processed foods,Green-Score D
Sourdough White Ciabattin Bread,580 g,Nutri-Score D,Processed foods,Green-Score not computed
No Sugars Nutty Almond,1 l,Nutri-Score B,Ultra-processed foods,Green-Score B
aïn Saiss,5 L,Nutri-Score A,Unprocessed or minimally processed foods,Green-Score not applicable
Dark Chocolate 85% Cocoa,125g,Nutri-Score E,Ultra-processed foods,Green-Score D
CRISTALINE Eau De Source 0.5L,500 ml,Nutri-Score A,Unprocessed or minimally processed foods,Green-Score not applicable
